Date,Lo 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Hi 10
3/1/1974,1.022182231,1.026222822,1.024295841,1.028125938,1.026389856,1.029817427,1.029863881,1.031728342,1.035136162,1.041883404
4/1/1974,1.021895611,1.025974887,1.024077871,1.027928127,1.026160766,1.029601989,1.029669442,1.031567393,1.034960189,1.041663775
5/1/1974,1.021541627,1.025657655,1.023769828,1.027641129,1.025889859,1.029344589,1.029430559,1.031287219,1.034675782,1.041336276
6/1/1974,1.021383901,1.025469345,1.02361831,1.027508769,1.025757725,1.029232185,1.029290968,1.031196053,1.034595905,1.041276711
7/1/1974,1.021085248,1.02524005,1.023411948,1.027291759,1.025563241,1.029048158,1.029052996,1.030999301,1.034400987,1.041103443
8/1/1974,1.020661293,1.024884496,1.02303738,1.026955219,1.025223574,1.028678112,1.02874922,1.030713508,1.034106804,1.040871068
9/1/1974,1.020233432,1.024524967,1.022665813,1.026659045,1.024893452,1.028388848,1.028443475,1.030457479,1.033845382,1.040542153
10/1/1974,1.020586433,1.024893386,1.023057289,1.027068887,1.025254625,1.028677208,1.028805076,1.030812368,1.034179107,1.041077408
11/1/1974,1.020250456,1.024630603,1.022847767,1.026842932,1.025061877,1.028461597,1.028626476,1.030651974,1.034059969,1.040971218
12/1/1974,1.019828888,1.024212964,1.022499999,1.026552951,1.024720736,1.028175685,1.028367262,1.03039225,1.033801041,1.04073929
1/1/1975,1.021678042,1.025695205,1.023980579,1.027782351,1.025941384,1.029274188,1.029386579,1.031307238,1.034761235,1.041501944
2/1/1975,1.021922428,1.025991836,1.024215275,1.027993252,1.026185147,1.029473044,1.029638161,1.031520925,1.034947906,1.041748571
3/1/1975,1.022524136,1.026423573,1.024599151,1.028225167,1.026392437,1.029738236,1.029865506,1.031754461,1.035241831,1.042056095
4/1/1975,1.022631296,1.026516773,1.024743414,1.028310716,1.026516836,1.029862216,1.030008451,1.031908812,1.035455505,1.042342036
5/1/1975,1.023007215,1.026836635,1.025064774,1.028599877,1.026791121,1.030106088,1.030256477,1.032203938,1.035798448,1.042679754
6/1/1975,1.023378362,1.027103613,1.025375574,1.028881713,1.027074515,1.03045344,1.030535058,1.03248222,1.036060712,1.042960444
7/1/1975,1.023407017,1.027131961,1.025358757,1.028847966,1.027024805,1.030328961,1.030408509,1.032433074,1.035945917,1.042881596
8/1/1975,1.02319333,1.026938038,1.025200442,1.028666065,1.026836654,1.030119186,1.030196657,1.03223113,1.035714279,1.042686786
9/1/1975,1.023028391,1.026790981,1.025063475,1.028511354,1.026683039,1.029995572,1.030061083,1.032057715,1.035531579,1.042539558
10/1/1975,1.022991153,1.02684232,1.02513605,1.028604331,1.026785707,1.030115051,1.030183042,1.032154728,1.035653772,1.042659659
11/1/1975,1.023030845,1.026913789,1.025197968,1.028703077,1.026874832,1.030201169,1.030302543,1.032251338,1.035752366,1.042775186
12/1/1975,1.0230333,1.026937202,1.025193047,1.028681269,1.026838686,1.030184685,1.03028647,1.032196009,1.035717979,1.042701774
1/1/1976,1.023708911,1.027634698,1.025931186,1.02947788,1.027655229,1.03100018,1.031179935,1.032981717,1.036609525,1.043677326
2/1/1976,1.024364904,1.028106177,1.02634361,1.029819666,1.028026418,1.031323501,1.031556522,1.033388299,1.036987266,1.044111913
3/1/1976,1.024453409,1.028197473,1.026390822,1.029862095,1.028088922,1.031446022,1.031659677,1.033503211,1.037095112,1.044203377
4/1/1976,1.024452999,1.028183489,1.026362904,1.029870334,1.028056845,1.031448911,1.031615935,1.033487089,1.037066489,1.044125271
5/1/1976,1.024426363,1.028146886,1.026306249,1.029812661,1.028013256,1.031408065,1.031519788,1.03338622,1.036945774,1.04393524
6/1/1976,1.024510366,1.028266562,1.026468406,1.029931296,1.02814772,1.031516157,1.031641095,1.033505266,1.037107538,1.044055502
7/1/1976,1.024520611,1.028269441,1.026493041,1.029950658,1.028177742,1.031530185,1.031667505,1.033532964,1.037097167,1.044055084
8/1/1976,1.024400947,1.028200342,1.026445822,1.029952718,1.028151832,1.031493875,1.031615509,1.033491623,1.037029548,1.043948173
9/1/1976,1.024432909,1.028262445,1.026523832,1.03000504,1.028267396,1.031580521,1.031721559,1.033587531,1.037114999,1.044051315
10/1/1976,1.024312435,1.028227484,1.026442121,1.029908631,1.028172795,1.031508723,1.031653053,1.033487066,1.037047794,1.043954844
11/1/1976,1.024361602,1.02828342,1.026537785,1.030030572,1.028285072,1.031630441,1.031794183,1.03362018,1.037197959,1.044103921
12/1/1976,1.02486231,1.028700903,1.02696195,1.030397263,1.028620293,1.032009668,1.032189567,1.034007994,1.037612008,1.044504857
1/1/1977,1.024995542,1.028845332,1.027059717,1.030459499,1.028755659,1.032188825,1.032321687,1.034154409,1.037766405,1.044699971
2/1/1977,1.024986932,1.028851917,1.027069577,1.030456614,1.028751956,1.032162401,1.032366696,1.034140345,1.037801274,1.044745102
3/1/1977,1.025041872,1.028877432,1.027101211,1.030476399,1.028798044,1.032177677,1.032399319,1.034187502,1.037866032,1.044803189
4/1/1977,1.025074673,1.028875375,1.027140241,1.030516381,1.028865121,1.032265206,1.032498842,1.034295885,1.037971064,1.04492773
5/1/1977,1.025061142,1.028888544,1.027134899,1.030518442,1.028923972,1.03226727,1.032557075,1.03431202,1.037954872,1.044969527
6/1/1977,1.025232122,1.029099672,1.027342792,1.030737324,1.029154451,1.032474137,1.032750783,1.034535017,1.038216437,1.045262955
7/1/1977,1.025326444,1.02911161,1.027384296,1.030765773,1.029187796,1.032522457,1.032784244,1.034580537,1.038268763,1.045302675
8/1/1977,1.02528461,1.029127252,1.027367447,1.030757114,1.029147452,1.032484047,1.032744172,1.034585917,1.038252981,1.045313546
9/1/1977,1.02528379,1.029130957,1.027428678,1.030805766,1.029198909,1.032527824,1.03281853,1.034639715,1.038338533,1.045387136
10/1/1977,1.025171829,1.029034219,1.027333333,1.030706396,1.029093519,1.032477437,1.032743753,1.034548253,1.038261281,1.045262107
11/1/1977,1.025453546,1.029274189,1.027572907,1.030964898,1.029350381,1.032733078,1.033002766,1.034907862,1.038610137,1.045622932
12/1/1977,1.025513843,1.029305891,1.027607022,1.030993765,1.029445493,1.032800412,1.033075489,1.034982789,1.03873477,1.045752589
1/1/1978,1.0255684,1.029265131,1.027575372,1.030896851,1.029356961,1.032760753,1.032991603,1.034902889,1.038657903,1.045697792
2/1/1978,1.025628294,1.029374644,1.027634149,1.031002827,1.029452897,1.032852462,1.033087052,1.035041566,1.03882035,1.045816165
3/1/1978,1.02593188,1.029580108,1.027912022,1.031258928,1.029669494,1.033087539,1.03334491,1.035337587,1.039120776,1.046158356
4/1/1978,1.026303677,1.029918222,1.02821135,1.031596769,1.029932265,1.033343332,1.03362722,1.035685875,1.039500263,1.046533717
5/1/1978,1.026650978,1.030227197,1.028423161,1.031827434,1.030108178,1.03352892,1.033872396,1.03598871,1.039786334,1.046939354
6/1/1978,1.026635784,1.030256868,1.028477873,1.031857151,1.030130016,1.033558272,1.03389266,1.036048797,1.039825846,1.047023109
7/1/1978,1.026794297,1.030419236,1.028649423,1.031990467,1.030274646,1.033772839,1.034132523,1.036280043,1.040076652,1.04732172
8/1/1978,1.027181603,1.030692916,1.028943206,1.032246813,1.030595268,1.034095376,1.034462619,1.036629891,1.040514316,1.047859624
